student_id,name,class,parent_name,parent_email,attendance_percent,avg_marks,failed_attempts,fee_paid_percent,risk_rule,risk_ml
77,Student_77,CSE,Parent_77,parent77@mail.com,63,41,0,68,High Risk,High Risk
78,Student_78,CIVIL,Parent_78,parent78@mail.com,98,35,2,57,Medium Risk,Medium Risk
79,Student_79,CIVIL,Parent_79,parent79@mail.com,42,37,0,88,Medium Risk,Medium Risk
80,Student_80,CIVIL,Parent_80,parent80@mail.com,50,88,4,82,Medium Risk,Medium Risk
81,Student_81,EEE,Parent_81,parent81@mail.com,84,73,4,93,Low Risk,Low Risk
82,Student_82,CSE,Parent_82,parent82@mail.com,43,49,4,77,Medium Risk,Medium Risk
83,Student_83,EEE,Parent_83,parent83@mail.com,65,64,4,86,Medium Risk,Medium Risk
84,Student_84,EEE,Parent_84,parent84@mail.com,66,38,1,97,Medium Risk,Medium Risk
85,Student_85,CSE,Parent_85,parent85@mail.com,85,53,2,74,Low Risk,Low Risk
86,Student_86,CSE,Parent_86,parent86@mail.com,93,32,4,85,Low Risk,Low Risk
87,Student_87,CSE,Parent_87,parent87@mail.com,82,62,4,66,Medium Risk,Medium Risk
88,Student_88,CSE,Parent_88,parent88@mail.com,66,81,3,73,Medium Risk,Medium Risk
89,Student_89,CIVIL,Parent_89,parent89@mail.com,81,41,2,70,Low Risk,Low Risk
90,Student_90,MECH,Parent_90,parent90@mail.com,90,71,0,51,Low Risk,Low Risk
91,Student_91,MECH,Parent_91,parent91@mail.com,89,71,2,80,Low Risk,Low Risk
92,Student_92,CSE,Parent_92,parent92@mail.com,45,55,2,93,Medium Risk,Medium Risk
93,Student_93,MECH,Parent_93,parent93@mail.com,98,92,2,82,Low Risk,Low Risk
94,Student_94,MECH,Parent_94,parent94@mail.com,100,38,4,79,Low Risk,Low Risk
95,Student_95,CSE,Parent_95,parent95@mail.com,54,57,4,61,High Risk,High Risk
96,Student_96,MECH,Parent_96,parent96@mail.com,92,89,1,93,Low Risk,Low Risk
97,Student_97,EEE,Parent_97,parent97@mail.com,69,98,0,61,Medium Risk,Medium Risk
98,Student_98,ECE,Parent_98,parent98@mail.com,81,76,3,100,Low Risk,Low Risk
99,Student_99,ECE,Parent_99,parent99@mail.com,76,39,2,98,Low Risk,Low Risk
100,Student_100,CSE,Parent_100,parent100@mail.com,97,28,0,73,Low Risk,Low Risk
101,Student_101,CIVIL,Parent_101,parent101@mail.com,100,51,0,73,Low Risk,Low Risk
102,Student_102,CSE,Parent_102,parent102@mail.com,76,23,1,60,Medium Risk,Medium Risk
103,Student_103,CIVIL,Parent_103,parent103@mail.com,81,69,3,62,Medium Risk,Medium Risk
104,Student_104,ECE,Parent_104,parent104@mail.com,99,24,2,76,Low Risk,Low Risk
105,Student_105,CSE,Parent_105,parent105@mail.com,76,39,3,57,Medium Risk,Medium Risk
106,Student_106,EEE,Parent_106,parent106@mail.com,74,94,1,59,Medium Risk,Medium Risk
107,Student_107,MECH,Parent_107,parent107@mail.com,62,56,4,57,High Risk,High Risk
108,Student_108,CIVIL,Parent_108,parent108@mail.com,45,41,0,69,High Risk,High Risk
109,Student_109,MECH,Parent_109,parent109@mail.com,43,77,2,57,High Risk,High Risk
110,Student_110,MECH,Parent_110,parent110@mail.com,57,87,4,58,High Risk,High Risk
111,Student_111,CSE,Parent_111,parent111@mail.com,99,63,1,56,Low Risk,Low Risk
112,Student_112,MECH,Parent_112,parent112@mail.com,48,53,3,63,High Risk,High Risk
113,Student_113,EEE,Parent_113,parent113@mail.com,88,96,0,77,Low Risk,Low Risk
114,Student_114,MECH,Parent_114,parent114@mail.com,68,61,2,51,High Risk,High Risk
115,Student_115,CSE,Parent_115,parent115@mail.com,52,28,4,92,Medium Risk,Medium Risk
116,Student_116,EEE,Parent_116,parent116@mail.com,98,26,4,57,Medium Risk,Medium Risk
117,Student_117,ECE,Parent_117,parent117@mail.com,86,87,0,62,Low Risk,Low Risk
118,Student_118,MECH,Parent_118,parent118@mail.com,91,38,3,70,Low Risk,Low Risk
119,Student_119,CSE,Parent_119,parent119@mail.com,56,50,1,96,Low Risk,Low Risk
120,Student_120,ECE,Parent_120,parent120@mail.com,84,54,3,77,Low Risk,Low Risk
121,Student_121,ECE,Parent_121,parent121@mail.com,71,76,3,84,Medium Risk,Medium Risk
122,Student_122,CIVIL,Parent_122,parent122@mail.com,87,80,3,72,Low Risk,Low Risk
123,Student_123,EEE,Parent_123,parent123@mail.com,61,50,0,95,Low Risk,Low Risk
124,Student_124,MECH,Parent_124,parent124@mail.com,43,72,0,64,Medium Risk,Medium Risk
125,Student_125,CSE,Parent_125,parent125@mail.com,44,51,1,51,Medium Risk,Medium Risk
126,Student_126,CIVIL,Parent_126,parent126@mail.com,76,85,3,100,Low Risk,Low Risk
127,Student_127,EEE,Parent_127,parent127@mail.com,80,78,0,61,Low Risk,Low Risk
128,Student_128,CIVIL,Parent_128,parent128@mail.com,88,29,1,85,Low Risk,Low Risk
129,Student_129,EEE,Parent_129,parent129@mail.com,52,21,1,52,High Risk,High Risk
130,Student_130,EEE,Parent_130,parent130@mail.com,73,85,3,54,High Risk,High Risk
131,Student_131,MECH,Parent_131,parent131@mail.com,84,79,2,52,Medium Risk,Medium Risk
132,Student_132,EEE,Parent_132,parent132@mail.com,61,36,3,96,Medium Risk,Medium Risk
133,Student_133,CIVIL,Parent_133,parent133@mail.com,92,35,2,68,Medium Risk,Medium Risk
134,Student_134,EEE,Parent_134,parent134@mail.com,98,35,1,51,Medium Risk,Medium Risk
135,Student_135,MECH,Parent_135,parent135@mail.com,62,65,0,93,Low Risk,Low Risk
136,Student_136,MECH,Parent_136,parent136@mail.com,90,58,4,86,Low Risk,Low Risk
137,Student_137,CIVIL,Parent_137,parent137@mail.com,42,50,1,66,Medium Risk,Medium Risk
138,Student_138,ECE,Parent_138,parent138@mail.com,81,20,0,63,Medium Risk,Medium Risk
139,Student_139,ECE,Parent_139,parent139@mail.com,73,30,1,77,Medium Risk,Medium Risk
140,Student_140,EEE,Parent_140,parent140@mail.com,71,23,3,76,Medium Risk,Medium Risk
141,Student_141,CSE,Parent_141,parent141@mail.com,84,90,2,59,Medium Risk,Medium Risk
142,Student_142,EEE,Parent_142,parent142@mail.com,90,45,1,52,Medium Risk,Medium Risk
143,Student_143,CIVIL,Parent_143,parent143@mail.com,97,69,0,85,Low Risk,Low Risk
144,Student_144,CIVIL,Parent_144,parent144@mail.com,88,31,3,87,Low Risk,Low Risk
145,Student_145,CIVIL,Parent_145,parent145@mail.com,60,100,4,74,Medium Risk,Medium Risk
146,Student_146,CIVIL,Parent_146,parent146@mail.com,85,94,3,71,Low Risk,Low Risk
147,Student_147,CIVIL,Parent_147,parent147@mail.com,83,84,2,97,Low Risk,Low Risk
148,Student_148,MECH,Parent_148,parent148@mail.com,60,66,3,88,Medium Risk,Medium Risk
149,Student_149,ECE,Parent_149,parent149@mail.com,83,72,4,96,Low Risk,Low Risk
150,Student_150,CIVIL,Parent_150,parent150@mail.com,50,90,0,79,Low Risk,Low Risk
151,Student_151,CSE,Parent_151,parent151@mail.com,78,21,1,70,Low Risk,Low Risk
152,Student_152,CSE,Parent_152,parent152@mail.com,43,43,2,79,Medium Risk,Medium Risk
153,Student_153,CSE,Parent_153,parent153@mail.com,90,23,4,77,Low Risk,Low Risk
154,Student_154,CSE,Parent_154,parent154@mail.com,40,38,2,80,Medium Risk,Medium Risk
155,Student_155,MECH,Parent_155,parent155@mail.com,67,45,3,75,Medium Risk,Medium Risk
156,Student_156,CSE,Parent_156,parent156@mail.com,63,94,2,92,Medium Risk,Medium Risk
157,Student_157,CIVIL,Parent_157,parent157@mail.com,100,59,4,71,Low Risk,Low Risk
158,Student_158,EEE,Parent_158,parent158@mail.com,74,69,1,70,Low Risk,Low Risk
159,Student_159,CSE,Parent_159,parent159@mail.com,52,62,1,50,Medium Risk,Medium Risk
160,Student_160,MECH,Parent_160,parent160@mail.com,86,94,2,86,Low Risk,Low Risk
161,Student_161,MECH,Parent_161,parent161@mail.com,73,86,0,62,Medium Risk,Medium Risk
162,Student_162,CSE,Parent_162,parent162@mail.com,50,31,2,70,Medium Risk,Medium Risk
163,Student_163,EEE,Parent_163,parent163@mail.com,75,86,3,95,Low Risk,Low Risk
164,Student_164,CSE,Parent_164,parent164@mail.com,90,46,1,58,Medium Risk,Medium Risk
165,Student_165,MECH,Parent_165,parent165@mail.com,100,73,1,66,Low Risk,Low Risk
166,Student_166,ECE,Parent_166,parent166@mail.com,56,85,1,96,Low Risk,Low Risk
167,Student_167,CIVIL,Parent_167,parent167@mail.com,74,68,0,70,Low Risk,Low Risk
168,Student_168,MECH,Parent_168,parent168@mail.com,99,35,0,80,Low Risk,Low Risk
169,Student_169,CSE,Parent_169,parent169@mail.com,57,21,4,88,Medium Risk,Medium Risk
170,Student_170,CIVIL,Parent_170,parent170@mail.com,79,79,2,71,Low Risk,Low Risk
171,Student_171,CSE,Parent_171,parent171@mail.com,61,73,2,61,High Risk,High Risk
172,Student_172,CSE,Parent_172,parent172@mail.com,96,49,3,55,Medium Risk,Medium Risk
173,Student_173,ECE,Parent_173,parent173@mail.com,63,57,1,65,Medium Risk,Medium Risk
174,Student_174,CIVIL,Parent_174,parent174@mail.com,97,47,0,75,Low Risk,Low Risk
175,Student_175,CIVIL,Parent_175,parent175@mail.com,58,44,3,54,High Risk,High Risk
176,Student_176,ECE,Parent_176,parent176@mail.com,76,29,3,58,Medium Risk,Medium Risk
177,Student_177,MECH,Parent_177,parent177@mail.com,78,79,0,95,Low Risk,Low Risk
178,Student_178,CSE,Parent_178,parent178@mail.com,60,61,2,89,Medium Risk,Medium Risk
179,Student_179,EEE,Parent_179,parent179@mail.com,47,59,1,63,Medium Risk,Medium Risk
180,Student_180,CSE,Parent_180,parent180@mail.com,67,96,2,93,Medium Risk,Medium Risk
181,Student_181,CSE,Parent_181,parent181@mail.com,44,61,3,91,Medium Risk,Medium Risk
182,Student_182,MECH,Parent_182,parent182@mail.com,56,66,1,79,Low Risk,Low Risk
183,Student_183,CSE,Parent_183,parent183@mail.com,76,56,4,75,Low Risk,Low Risk
184,Student_184,ECE,Parent_184,parent184@mail.com,75,99,3,94,Low Risk,Low Risk
185,Student_185,ECE,Parent_185,parent185@mail.com,93,41,2,78,Low Risk,Low Risk
186,Student_186,CIVIL,Parent_186,parent186@mail.com,58,76,2,68,High Risk,High Risk
187,Student_187,EEE,Parent_187,parent187@mail.com,66,46,2,96,Medium Risk,Medium Risk
188,Student_188,CSE,Parent_188,parent188@mail.com,92,60,0,57,Low Risk,Low Risk
189,Student_189,CSE,Parent_189,parent189@mail.com,73,99,3,72,Medium Risk,Medium Risk
190,Student_190,MECH,Parent_190,parent190@mail.com,50,53,1,91,Low Risk,Low Risk
191,Student_191,ECE,Parent_191,parent191@mail.com,93,51,2,84,Low Risk,Low Risk
192,Student_192,EEE,Parent_192,parent192@mail.com,84,85,2,80,Low Risk,Low Risk
193,Student_193,CIVIL,Parent_193,parent193@mail.com,86,31,0,84,Low Risk,Low Risk
194,Student_194,ECE,Parent_194,parent194@mail.com,51,59,1,81,Low Risk,Low Risk
195,Student_195,CIVIL,Parent_195,parent195@mail.com,93,92,3,54,Medium Risk,Medium Risk
196,Student_196,MECH,Parent_196,parent196@mail.com,60,95,4,65,High Risk,High Risk
197,Student_197,MECH,Parent_197,parent197@mail.com,93,92,0,66,Low Risk,Low Risk
198,Student_198,CSE,Parent_198,parent198@mail.com,50,29,3,81,Medium Risk,Medium Risk
199,Student_199,EEE,Parent_199,parent199@mail.com,78,67,4,87,Low Risk,Low Risk
200,Student_200,CIVIL,Parent_200,parent200@mail.com,67,39,2,81,Medium Risk,Medium Risk
201,Student_201,ECE,Parent_201,parent201@mail.com,44,58,2,69,High Risk,High Risk
202,Student_202,MECH,Parent_202,parent202@mail.com,56,79,1,97,Low Risk,Low Risk
203,Student_203,CSE,Parent_203,parent203@mail.com,95,85,4,51,Medium Risk,Medium Risk
204,Student_204,CSE,Parent_204,parent204@mail.com,59,84,2,69,High Risk,High Risk
205,Student_205,CIVIL,Parent_205,parent205@mail.com,80,70,2,96,Low Risk,Low Risk
206,Student_206,MECH,Parent_206,parent206@mail.com,85,55,1,67,Low Risk,Low Risk
207,Student_207,EEE,Parent_207,parent207@mail.com,97,43,3,50,Medium Risk,Medium Risk
208,Student_208,MECH,Parent_208,parent208@mail.com,51,46,2,78,Medium Risk,Medium Risk
209,Student_209,CIVIL,Parent_209,parent209@mail.com,45,21,0,78,Medium Risk,Medium Risk
210,Student_210,CIVIL,Parent_210,parent210@mail.com,56,50,0,68,Medium Risk,Medium Risk
211,Student_211,MECH,Parent_211,parent211@mail.com,90,76,3,93,Low Risk,Low Risk
212,Student_212,CIVIL,Parent_212,parent212@mail.com,58,97,4,89,Medium Risk,Medium Risk
213,Student_213,MECH,Parent_213,parent213@mail.com,65,85,1,55,Medium Risk,Medium Risk
214,Student_214,ECE,Parent_214,parent214@mail.com,87,48,0,93,Low Risk,Low Risk
215,Student_215,MECH,Parent_215,parent215@mail.com,83,34,0,88,Low Risk,Low Risk
216,Student_216,MECH,Parent_216,parent216@mail.com,83,31,3,99,Low Risk,Low Risk
217,Student_217,CIVIL,Parent_217,parent217@mail.com,91,47,4,95,Low Risk,Low Risk
218,Student_218,CIVIL,Parent_218,parent218@mail.com,71,43,4,57,High Risk,High Risk
219,Student_219,CSE,Parent_219,parent219@mail.com,45,40,3,73,Medium Risk,Medium Risk
220,Student_220,CSE,Parent_220,parent220@mail.com,94,29,0,69,Medium Risk,Medium Risk
221,Student_221,ECE,Parent_221,parent221@mail.com,97,97,1,63,Low Risk,Low Risk
222,Student_222,CSE,Parent_222,parent222@mail.com,75,37,0,54,Medium Risk,Medium Risk
223,Student_223,MECH,Parent_223,parent223@mail.com,77,33,4,90,Low Risk,Low Risk
224,Student_224,CIVIL,Parent_224,parent224@mail.com,50,53,0,89,Low Risk,Low Risk
225,Student_225,CSE,Parent_225,parent225@mail.com,72,77,1,83,Low Risk,Low Risk
226,Student_226,CSE,Parent_226,parent226@mail.com,63,95,2,65,High Risk,High Risk
227,Student_227,ECE,Parent_227,parent227@mail.com,62,41,0,94,Medium Risk,Medium Risk
228,Student_228,ECE,Parent_228,parent228@mail.com,54,89,3,56,High Risk,High Risk
229,Student_229,MECH,Parent_229,parent229@mail.com,66,55,2,65,High Risk,High Risk
230,Student_230,CIVIL,Parent_230,parent230@mail.com,50,64,3,56,High Risk,High Risk
231,Student_231,ECE,Parent_231,parent231@mail.com,96,55,3,76,Low Risk,Low Risk
232,Student_232,CSE,Parent_232,parent232@mail.com,90,41,3,63,Medium Risk,Medium Risk
233,Student_233,CIVIL,Parent_233,parent233@mail.com,89,97,0,63,Low Risk,Low Risk
234,Student_234,CIVIL,Parent_234,parent234@mail.com,56,99,4,93,Medium Risk,Medium Risk
235,Student_235,CSE,Parent_235,parent235@mail.com,90,80,2,82,Low Risk,Low Risk
236,Student_236,ECE,Parent_236,parent236@mail.com,92,75,1,82,Low Risk,Low Risk
237,Student_237,CSE,Parent_237,parent237@mail.com,53,52,4,93,Medium Risk,Medium Risk
238,Student_238,CIVIL,Parent_238,parent238@mail.com,66,64,0,69,Medium Risk,Medium Risk
239,Student_239,EEE,Parent_239,parent239@mail.com,57,55,3,96,Medium Risk,Medium Risk
240,Student_240,EEE,Parent_240,parent240@mail.com,67,39,1,85,Medium Risk,Medium Risk
241,Student_241,MECH,Parent_241,parent241@mail.com,90,37,2,56,Medium Risk,Medium Risk
242,Student_242,CSE,Parent_242,parent242@mail.com,86,57,4,81,Low Risk,Low Risk
243,Student_243,CSE,Parent_243,parent243@mail.com,86,86,4,97,Low Risk,Low Risk
244,Student_244,MECH,Parent_244,parent244@mail.com,43,42,1,52,High Risk,High Risk
245,Student_245,MECH,Parent_245,parent245@mail.com,46,35,0,88,Medium Risk,Medium Risk
246,Student_246,MECH,Parent_246,parent246@mail.com,84,78,2,78,Low Risk,Low Risk
247,Student_247,CIVIL,Parent_247,parent247@mail.com,74,88,1,73,Low Risk,Low Risk
248,Student_248,CSE,Parent_248,parent248@mail.com,87,87,3,71,Low Risk,Low Risk
249,Student_249,CIVIL,Parent_249,parent249@mail.com,48,40,2,55,High Risk,High Risk
250,Student_250,MECH,Parent_250,parent250@mail.com,47,97,4,97,Medium Risk,Medium Risk
251,Student_251,CSE,Parent_251,parent251@mail.com,91,97,1,73,Low Risk,Low Risk
252,Student_252,CIVIL,Parent_252,parent252@mail.com,84,89,4,89,Low Risk,Low Risk
253,Student_253,CIVIL,Parent_253,parent253@mail.com,56,31,4,72,Medium Risk,Medium Risk
254,Student_254,MECH,Parent_254,parent254@mail.com,56,35,4,87,Medium Risk,Medium Risk
255,Student_255,CSE,Parent_255,parent255@mail.com,88,100,0,59,Low Risk,Low Risk
256,Student_256,MECH,Parent_256,parent256@mail.com,72,33,4,65,High Risk,High Risk
257,Student_257,CSE,Parent_257,parent257@mail.com,71,80,3,60,High Risk,High Risk
258,Student_258,EEE,Parent_258,parent258@mail.com,47,90,3,81,Medium Risk,Medium Risk
259,Student_259,ECE,Parent_259,parent259@mail.com,58,65,2,94,Medium Risk,Medium Risk
260,Student_260,ECE,Parent_260,parent260@mail.com,77,51,4,55,Medium Risk,Medium Risk
261,Student_261,ECE,Parent_261,parent261@mail.com,42,34,4,73,Medium Risk,Medium Risk
262,Student_262,MECH,Parent_262,parent262@mail.com,98,63,1,82,Low Risk,Low Risk
263,Student_263,EEE,Parent_263,parent263@mail.com,44,36,0,100,Medium Risk,Medium Risk
264,Student_264,CSE,Parent_264,parent264@mail.com,52,60,2,61,High Risk,High Risk
265,Student_265,CIVIL,Parent_265,parent265@mail.com,86,73,4,76,Low Risk,Low Risk
266,Student_266,CSE,Parent_266,parent266@mail.com,85,63,1,87,Low Risk,Low Risk
267,Student_267,CIVIL,Parent_267,parent267@mail.com,100,24,0,67,Medium Risk,Medium Risk
268,Student_268,CSE,Parent_268,parent268@mail.com,70,46,2,94,Medium Risk,Medium Risk
269,Student_269,EEE,Parent_269,parent269@mail.com,94,97,2,88,Low Risk,Low Risk
270,Student_270,CIVIL,Parent_270,parent270@mail.com,55,98,4,62,High Risk,High Risk
271,Student_271,MECH,Parent_271,parent271@mail.com,89,62,2,89,Low Risk,Low Risk
272,Student_272,CSE,Parent_272,parent272@mail.com,71,50,1,79,Low Risk,Low Risk
273,Student_273,CSE,Parent_273,parent273@mail.com,61,36,2,98,Medium Risk,Medium Risk
274,Student_274,CIVIL,Parent_274,parent274@mail.com,68,73,3,90,Medium Risk,Medium Risk
275,Student_275,MECH,Parent_275,parent275@mail.com,61,81,1,62,Medium Risk,Medium Risk
276,Student_276,MECH,Parent_276,parent276@mail.com,82,51,0,83,Low Risk,Low Risk
277,Student_277,EEE,Parent_277,parent277@mail.com,42,59,0,85,Low Risk,Low Risk
278,Student_278,MECH,Parent_278,parent278@mail.com,93,32,4,79,Low Risk,Low Risk
279,Student_279,MECH,Parent_279,parent279@mail.com,49,54,4,74,Medium Risk,Medium Risk
280,Student_280,MECH,Parent_280,parent280@mail.com,81,24,3,51,Medium Risk,Medium Risk
281,Student_281,ECE,Parent_281,parent281@mail.com,60,92,0,85,Low Risk,Low Risk
282,Student_282,EEE,Parent_282,parent282@mail.com,55,48,0,67,High Risk,High Risk
283,Student_283,CSE,Parent_283,parent283@mail.com,51,89,0,54,Medium Risk,Medium Risk
284,Student_284,CIVIL,Parent_284,parent284@mail.com,41,44,0,68,High Risk,High Risk
285,Student_285,CSE,Parent_285,parent285@mail.com,80,41,2,91,Low Risk,Low Risk
286,Student_286,EEE,Parent_286,parent286@mail.com,63,85,1,67,Medium Risk,Medium Risk
287,Student_287,CIVIL,Parent_287,parent287@mail.com,74,64,1,81,Low Risk,Low Risk
288,Student_288,EEE,Parent_288,parent288@mail.com,95,88,3,70,Low Risk,Low Risk
289,Student_289,MECH,Parent_289,parent289@mail.com,69,91,2,59,High Risk,High Risk
290,Student_290,CIVIL,Parent_290,parent290@mail.com,96,20,0,86,Low Risk,Low Risk
291,Student_291,MECH,Parent_291,parent291@mail.com,69,63,0,98,Low Risk,Low Risk
292,Student_292,CSE,Parent_292,parent292@mail.com,86,94,4,71,Low Risk,Low Risk
293,Student_293,CSE,Parent_293,parent293@mail.com,74,58,4,62,High Risk,High Risk
294,Student_294,CIVIL,Parent_294,parent294@mail.com,58,73,3,66,High Risk,High Risk
295,Student_295,CIVIL,Parent_295,parent295@mail.com,89,94,0,58,Low Risk,Low Risk
